id,value
people,
people.gender,
people.gender.male,111
people.gender.female,0
people.age,
people.age.from22to26,3546
people.age.from26to30,6562
people.age.from30to35,2746
people.sport,
people.sport.RugbyLeague,4522
people.sport.RubyUnion,899
people.sport.Basketball,816
people.sport.American Football,2728
people.sport.Soccer,3440
people.sport.Australian Football,1730
people.sport.Tennis,835
people.sport.Wrestling,945
people.sport.Baseball,859
people.wellnessDate,
people.dailyHeartRate,
people.stress,
people.stress.veryHigh,1125
people.stress.high,4711
people.stress.average,4413
people.stress.low,3882
people.stress.veryLow,3529
people.sleepQuality,
people.sleepQuality.veryHigh,4145
people.sleepQuality.high,4400
people.sleepQuality.average,4312
people.sleepQuality.low,4262
people.sleepQuality.veryLow,505
people.energyLevels,
people.energyLevels.veryHigh,4000
people.energyLevels.high,4347
people.energyLevels.average,4461
people.energyLevels.low,4107
people.energyLevels.veryLow,608
people.fatigue,
people.fatigue.veryHigh,2722
people.fatigue.high,3731
people.fatigue.average,3721
people.fatigue.low,3660
people.fatigue.veryLow,3831
