wellnessDate,counts
2/01/13,15
9/01/13,22
13/01/13,1
16/01/13,19
23/01/13,24
30/01/13,21
6/02/13,19
13/02/13,24
20/02/13,21
27/02/13,21
4/03/13,20
7/03/13,1
11/03/13,23
18/03/13,29
25/03/13,24
1/04/13,26
8/04/13,26
15/04/13,23
22/04/13,16
29/04/13,25
6/05/13,21
13/05/13,20
20/05/13,20
27/05/13,22
3/06/13,16
10/06/13,19
17/06/13,21
24/06/13,15
1/07/13,23
7/07/13,13
14/07/13,21
16/07/13,4
21/07/13,45
23/07/13,1
28/07/13,32
2/08/13,22
9/08/13,33
16/08/13,27
20/08/13,1
23/08/13,35
30/08/13,30
6/09/13,26
11/09/13,1
13/09/13,35
19/09/13,1
20/09/13,31
27/09/13,30
4/10/13,29
11/10/13,33
18/10/13,43
25/10/13,35
1/11/13,38
2/11/13,16
3/11/13,24
4/11/13,22
5/11/13,26
6/11/13,24
7/11/13,22
8/11/13,13
9/11/13,22
10/11/13,22
11/11/13,22
12/11/13,26
15/11/13,34
22/11/13,23
29/11/13,41
4/12/13,1
5/12/13,3
6/12/13,29
10/12/13,1
13/12/13,31
17/12/13,12
20/12/13,29
27/12/13,32
2/01/14,22
9/01/14,31
16/01/14,27
20/01/14,1
23/01/14,35
30/01/14,39
31/01/14,12
1/02/14,11
2/02/14,13
3/02/14,12
4/02/14,14
5/02/14,13
6/02/14,39
7/02/14,16
8/02/14,6
9/02/14,13
10/02/14,10
11/02/14,13
12/02/14,12
13/02/14,48
14/02/14,12
15/02/14,11
16/02/14,24
17/02/14,32
18/02/14,31
19/02/14,33
20/02/14,51
21/02/14,20
22/02/14,28
23/02/14,12
24/02/14,13
25/02/14,15
26/02/14,14
27/02/14,41
28/02/14,13
3/03/14,1
4/03/14,27
5/03/14,8
7/03/14,9
11/03/14,33
18/03/14,44
21/03/14,1
25/03/14,35
26/03/14,1
31/03/14,8
1/04/14,39
8/04/14,37
15/04/14,35
22/04/14,23
29/04/14,36
7/05/14,69
8/05/14,2
9/05/14,1
14/05/14,1
15/05/14,2
16/05/14,26
19/05/14,1
21/05/14,2
22/05/14,2
26/05/14,21
27/05/14,22
28/05/14,24
29/05/14,21
30/05/14,20
31/05/14,20
1/06/14,20
2/06/14,20
3/06/14,20
4/06/14,20
5/06/14,20
6/06/14,20
7/06/14,20
8/06/14,20
9/06/14,40
10/06/14,39
11/06/14,39
12/06/14,40
13/06/14,40
14/06/14,40
15/06/14,40
16/06/14,20
17/06/14,20
18/06/14,20
19/06/14,20
20/06/14,20
21/06/14,20
22/06/14,20
23/06/14,42
24/06/14,43
25/06/14,40
26/06/14,40
27/06/14,39
28/06/14,40
29/06/14,40
11/07/14,1
18/07/14,1
21/07/14,1
23/07/14,1
24/07/14,2
31/07/14,2
1/08/14,4
6/08/14,1
7/08/14,1
12/08/14,1
19/08/14,1
27/08/14,1
8/09/14,21
9/09/14,20
10/09/14,20
11/09/14,20
12/09/14,20
13/09/14,20
14/09/14,20
15/09/14,18
16/09/14,19
17/09/14,19
18/09/14,20
19/09/14,20
20/09/14,20
21/09/14,20
29/09/14,20
30/09/14,20
1/10/14,20
2/10/14,20
3/10/14,20
4/10/14,20
5/10/14,20
7/10/14,4
8/10/14,1
9/10/14,1
13/10/14,20
14/10/14,20
16/10/14,20
15/10/14,20
17/10/14,20
18/10/14,20
19/10/14,20
20/10/14,20
21/10/14,20
22/10/14,20
23/10/14,20
24/10/14,21
25/10/14,20
26/10/14,20
27/10/14,20
28/10/14,20
29/10/14,22
30/10/14,21
31/10/14,20
1/11/14,20
2/11/14,20
10/11/14,2
11/11/14,1
20/11/14,1
24/11/14,2
1/12/14,2
2/12/14,1
16/12/14,1
27/01/15,1
30/01/15,1
3/02/15,1
9/02/15,1
10/02/15,1
11/02/15,1
12/02/15,1
13/02/15,1
14/02/15,1
15/02/15,1
17/02/15,1
20/02/15,2
23/02/15,1
25/02/15,1
25/03/15,1
27/04/15,20
28/04/15,20
29/04/15,20
30/04/15,20
1/05/15,20
2/05/15,20
3/05/15,20
18/06/15,1
30/06/15,1
18/07/15,1
21/07/15,1
22/07/15,1
29/07/15,1
8/08/15,1
30/10/15,1
10/11/15,1
18/11/15,1
30/11/15,1
1/12/15,1
14/12/15,20
15/12/15,20
16/12/15,20
17/12/15,19
18/12/15,20
19/12/15,20
20/12/15,20
7/01/16,1
11/01/16,1
13/01/16,1
19/01/16,2
10/02/16,1
8/03/16,2
11/03/16,2
17/03/16,1
24/03/16,1
7/04/16,1
8/04/16,4
11/04/16,1
4/05/16,20
10/05/16,1
20/05/16,4
27/05/16,1
11/06/16,1
10/06/16,1
14/06/16,1
21/06/16,1
12/07/16,1
13/07/16,1
21/07/16,1
