age,veryhigh,high,average,low,verylow
24,21.6,21.6,17.6,17.2,22
25,20,20.53097345,21.4159292,17.87610619,20.17699115
26,19.14153132,18.44547564,19.37354988,20.76566125,22.2737819
27,18.59296482,21.23115578,20.60301508,20.35175879,19.22110553
28,21.5037594,21.5037594,18.4962406,19.69924812,18.79699248
29,20.54455446,19.55445545,19.05940594,19.55445545,21.28712871
30,20.74468085,17.19858156,20.74468085,21.09929078,20.21276596
31,18.46846847,17.56756757,20.72072072,18.46846847,24.77477477
32,10.625,21.875,25,25.625,16.875
33,21.8487395,19.32773109,23.52941176,20.16806723,15.12605042
34,21.42857143,21.42857143,7.142857143,21.42857143,28.57142857
